12.5663301,<---Weights,,,,,MAD ,,,,
0.311479268,,,,,,32.62858939,,,,
0,,,,,,,,,,
5.637533053,,,,,,,,,,
year,phs,WMA ,Error,Abs Error,,,,,,
1965,181.5,,,,,,,,,
1965,296.7,,,,,,,,,
1965,266.2,,,,,,,,,
1965,219.4,,,,,,,,,
1966,180.2,194.9777369,-14.77773693,14.77773693,,,,,,
1966,258.8,260.7151015,-1.915101468,1.915101468,,,,,,
1966,197.9,263.1595499,-65.25954992,65.25954992,,,,,,
1966,141.7,212.194249,-70.49424896,70.49424896,,,,,,
1967,147.1,169.7998277,-22.69982766,22.69982766,,,,,,
1967,254.7,223.7651886,30.93481138,30.93481138,,,,,,
1967,244.2,214.2489681,29.9510319,29.9510319,,,,,,
1967,197.8,172.999941,24.80005897,24.80005897,,,,,,
1968,179.9,164.3472152,15.55278482,15.55278482,,,,,,
1968,266.2,231.7483313,34.45166868,34.45166868,,,,,,
1968,249,250.1179618,-1.117961799,1.117961799,,,,,,
1968,204.2,213.0881976,-8.888197592,8.888197592,,,,,,
1969,171.1,188.7506445,-17.65064452,17.65064452,,,,,,
1969,259,236.954695,22.04530502,22.04530502,,,,,,
1969,214.5,251.2911302,-36.79113015,36.79113015,,,,,,
1969,165.9,206.7793002,-40.87930022,40.87930022,,,,,,
1970,136.7,170.9954303,-34.29543028,34.29543028,,,,,,
1970,231.6,221.0136045,10.58639549,10.58639549,,,,,,
1970,228.8,218.8890046,9.910995414,9.910995414,,,,,,
1970,215.8,184.5605047,31.23949529,31.23949529,,,,,,
1971,204.8,162.3807698,42.41923017,42.41923017,,,,,,
1971,348.5,223.3928589,125.1071411,125.1071411,,,,,,
1971,321.5,265.027441,56.47255896,56.47255896,,,,,,
1971,276.2,247.7983805,28.40161951,28.40161951,,,,,,
1972,263.9,228.9572324,34.94276755,34.94276755,,,,,,
1972,386.9,322.2868614,64.61313857,64.61313857,,,,,,
1972,370.9,340.6508557,30.24914431,30.24914431,,,,,,
1972,287.6,304.8272418,-17.22724183,17.22724183,,,,,,
1973,255.8,273.1853526,-17.38535262,17.38535262,,,,,,
1973,366.9,346.7136381,20.18636191,20.18636191,,,,,,
1973,306,368.2807476,-62.28074759,62.28074759,,,,,,
1973,203.3,292.6674498,-89.36744976,89.36744976,,,,,,
1974,177.8,241.6838615,-63.88386146,63.88386146,,,,,,
1974,297.8,308.2985136,-10.49851357,10.49851357,,,,,,
1974,243.9,301.7755741,-57.87557411,57.87557411,,,,,,
1974,168.4,215.2328671,-46.83286711,46.83286711,,,,,,
1975,142.3,176.9566292,-34.65662923,34.65662923,,,,,,
1975,260.9,249.5467675,11.35323248,11.35323248,,,,,,
1975,268,247.8060243,20.19397571,20.19397571,,,,,,
1975,221,198.2870348,22.71296521,22.71296521,,,,,,
1976,219,168.2576778,50.74232223,50.74232223,,,,,,
1976,339.6,248.2617713,91.33822871,91.33822871,,,,,,
1976,333.6,289.0100268,44.58997317,44.58997317,,,,,,
1976,270.1,255.2506905,14.84930948,14.84930948,,,,,,
1977,268.7,236.5877027,32.11229726,32.11229726,,,,,,
1977,440.1,317.9115019,122.1884981,122.1884981,,,,,,
1977,410.3,364.9587685,45.3412315,45.3412315,,,,,,
1977,331.8,312.7644047,19.03559526,19.03559526,,,,,,
1978,257.5,290.7960473,-33.29604731,33.29604731,,,,,,
1978,449.1,384.0008151,65.09918488,65.09918488,,,,,,
1978,403.9,420.7931983,-16.89319832,16.89319832,,,,,,
1978,322.9,352.5030048,-29.60300483,29.60300483,,,,,,
1979,226.6,280.6361689,-54.03616889,54.03616889,,,,,,
1979,386.9,380.5930322,6.306967804,6.306967804,,,,,,
1979,342.9,397.3612129,-54.46121288,54.46121288,,,,,,
1979,237.7,327.3695478,-89.66954778,89.66954778,,,,,,
1980,150.9,232.6764063,-81.77640631,81.77640631,,,,,,
1980,203.3,314.3027529,-111.0027529,111.0027529,,,,,,
1980,272.6,298.6249758,-26.02497584,26.02497584,,,,,,
1980,225.3,246.8661012,-21.56610124,21.56610124,,,,,,
1981,166.5,174.434751,-7.934750956,7.934750956,,,,,,
1981,229.9,193.2609902,36.63900975,36.63900975,,,,,,
1981,184.8,258.8030296,-74.00302963,74.00302963,,,,,,
1981,124.1,211.9794216,-87.87942164,87.87942164,,,,,,
1982,113.6,154.6566535,-41.0566535,41.0566535,,,,,,
1982,178.2,193.7303849,-15.53038489,15.53038489,,,,,,
1982,186.7,181.7692967,4.930703317,4.930703317,,,,,,
1982,184.1,142.9837467,41.11625328,41.11625328,,,,,,
